Year,Name,Type,Status,Address,City,ZIP,Deets,,,
1996,Avenida Terrace,Rental (Non-LIHTC),Completed,245 S Ave 54,Los Angeles,90042,8 units (No Longer Owned by ELACC),,,
1997,Clarence I,Homeownership (Non-LIHTC),Completed,114 South Clarence Street,Los Angeles,90033,1-4 bedroom home,,,
1997,Clarence II,Homeownership (Non-LIHTC),Completed,118 South Clarence Street,Los Angeles,90033,1-3 bedroom home,,,
1997,Boyle,Mixed-use,,530 S. Boyle Avenue,Los Angeles,,,,,
1997,Pecan,Homeownership (Non-LIHTC),Completed,339 South Pecan Street,Los Angeles,90033,1-3 bedroom home,,,
1998,Amethyst,Homeownership (Non-LIHTC),Completed,3521 Amethyst Street,Los Angeles,90032,1-3 bedroom home,,,
1998,Arizona,Homeownership (Non-LIHTC),Completed,201 South Arizona Street,Los Angeles,90023,1-3 bedroom home,,,
1998,Whiteside,Homeownership (Non-LIHTC),Completed,3627 Whiteside Avenue,Los Angeles,90063,2-1 bedroom homes,,, 
1999,Mott,Homeownership (Non-LIHTC),Completed,960 South Mott Street,Los Angeles,90023,1-3 bedroom home,,,
1999,Pomeroy Homes,Homeownership (Non-LIHTC),Completed,1800 Pomeroy,Los Angeles,90033,4-3 bedroom homes,,,
1999,Percy,Rental (Non-LIHTC),Completed,3807 Percy Street,County of LA,90023,7 family units (Managed by ELACC),,,
2000,Chicago,Homeownership (Non-LIHTC),Completed,520 Chicago Street,Los Angeles,90033,1-3 bedroom home,,,
2001,Randolph,Homeownership (Non-LIHTC),Completed,3270 Randolph Street,Los Angeles,90032,1-3 bedroom home,,,
2002,Arco Iris,Rental (Non-LIHTC),Completed,121 North Chicago,Los Angeles,90033,5 units (No Longer Exists),,,
2003,EHOP Homes  ,Homeownership (Non-LIHTC),Completed,2120 Michigan Avenue,Los Angeles,90033,1-3 bedroom home,,,
2003,EHOP Homes  ,Homeownership (Non-LIHTC),Completed,2929 New Jersey Street,Los Angeles,90033,1-3 bedroom home,,,
2003,EHOP Homes  ,Homeownership (Non-LIHTC),Completed,311 Avenue 51,Los Angeles,90042,1-3 bedroom home,,,
2003,EHOP Homes  ,Homeownership (Non-LIHTC),Completed,606 Brittania Street,Los Angeles,90033,1-4 bedroom home,,,
2003,EHOP Homes  ,Homeownership (Non-LIHTC),Completed,2825 Cincinnati Street,Los Angeles,90033,1-3 bedroom home,,,
2003,EHOP Homes  ,Homeownership (Non-LIHTC),Completed,5901 Mesa Avenue,Los Angeles,90042,1-3 bedroom home,,,
2003,EHOP Homes  ,Homeownership (Non-LIHTC),Completed,3024 Inez Street,Los Angeles,90042,1-3 bedroom home,,,
2003,EHOP Homes  ,Homeownership (Non-LIHTC),Completed,1948 Sheridan Street,Los Angeles,90033,1-3 bedroom home,,,
2003,EHOP Homes  ,Homeownership (Non-LIHTC),Completed,6363 North Figueroa,Los Angeles,90033,1-3 bedroom home,,,
2003,EHOP Homes  ,Homeownership (Non-LIHTC),Completed,5817 Benner Street,Los Angeles,90042,1-3 bedroom home,,,
2003,EHOP Homes  ,Homeownership (Non-LIHTC),Completed,2325 Whittier Blvd.,Los Angeles,90033,1-3 bedroom home,,,
2003,EHOP Homes  ,Homeownership (Non-LIHTC),Completed,611 North Avenue 50,Los Angeles,90042,1-3 bedroom home,,,
2003,EHOP Homes  ,Homeownership (Non-LIHTC),Completed,3141 East Side Blvd.,Los Angeles,90033,1-3 bedroom home,,,
2003,EHOP Homes  ,Homeownership (Non-LIHTC),Completed,5900 Fayette Street,Los Angeles,90042,1-3 bedroom home,,,
2003,EHOP Homes  ,Homeownership (Non-LIHTC),Completed,805 Avenue 52,Los Angeles,90042,1-3 bedroom home,,,
2003,EHOP Homes  ,Homeownership (Non-LIHTC),Completed,714 North Avenue 53,Los Angeles,90042,1-3 bedroom home,,,
2003,EHOP Homes  ,Homeownership (Non-LIHTC),Completed,180 - 182 South Avenue 53,Los Angeles,90042,2-2 bedroom/Duplex,,,
2003,EHOP Homes  ,Homeownership (Non-LIHTC),Completed,457 North Fresno Street,Los Angeles,90033,1-4 bedroom/Duplex,,,
2003,EHOP Homes  ,Homeownership (Non-LIHTC),Completed,6124 Mesa Avenue,Los Angeles,90042,1-3 bedroom home,,,
2003,EHOP Homes  ,Homeownership (Non-LIHTC),Completed,3252 Malabar Avenue,Los Angeles,90063,1-3 bedroom home,,,
2003,EHOP Homes  ,Homeownership (Non-LIHTC),Completed,2317 Rogers Avenue,Los Angeles,90063,1-3 bedroom home,,,
2003,EHOP Homes  ,Homeownership (Non-LIHTC),Completed,621 Brittania Street,Los Angeles,90063,2-2 bedroom/Duplex,,,
2003,EHOP Homes  ,Homeownership (Non-LIHTC),Completed,2514 Michigan Avenue,Los Angeles,90063,1-3 bedroom home,,,
2003,EHOP Homes  ,Homeownership (Non-LIHTC),Completed,5232 Hub Street,Los Angeles,90042,1-3 bedroom home,,,
2003,EHOP Homes  ,Homeownership (Non-LIHTC),Completed,6010 Piedmont Street,Los Angeles,90042,1-3 bedroom home,,,
2003,Stringer,Homeownership (Non-LIHTC),Completed,1262 Stringer Avenue,Los Angeles,90063,1-3 bedroom home,,,
2003,Los Girasoles,Rental - 9% TCAC (LIHTC),Completed,952 South Record Avneue,County of LA,90023,11 family units,,,
2004,Michigan Avenue Homes,Homeownership (Non-LIHTC),Completed,4063 Michigan Avenue,Los Angeles,90063,3-3 bedroom homes,,,
2004,Pleasant,Homeownership (Non-LIHTC),Completed,1604 Pleasant Avenue,Los Angeles,90033,2-3 bedroom homes,,,
2004,Las Mariposas,Rental (Non-LIHTC),Completed,438 South Evergreen Avenue,Los Angeles,90033,4 family units (Managed by ELACC),,,
2004,Las Mariposas,Rental (Non-LIHTC),Completed,2537 East Third Street,Los Angeles,90063,5 family units (Managed by ELACC),,,
2004,Las Mariposas,Rental (Non-LIHTC),Completed,621 North Cummings Street,Los Angeles,90033,4 family units (Managed by ELACC),,,
2004,Las Mariposas,Rental (Non-LIHTC),Completed,319 North Fickett Street,Los Angeles,90033,3 family units (Managed by ELACC),,,
2004,Las Mariposas,Rental (Non-LIHTC),Completed,2407 East First Street,Los Angeles,90033,5 family units (No Longer Exists),,,
2004,Paseo Del Sol,Rental (Non-LIHTC),Completed,417-419 Soto Street,Los Angeles,90033,7 family units (Managed by ELACC),,,
2005,Las Casitas,Homeownership (Non-LIHTC),Completed,152 South Utah Street,Los Angeles,90033,39 detached townhomes,,,
2005,Lorena Terrace,Rental - 4% TCAC (LIHTC),Completed,611 South Lorena Street,Los Angeles,90023,49 family units,,,
2005,Los Arbolitos (Kern Villa),Rental - 9% TCAC (LIHTC),Completed,200 North Kern Avenue,County of LA,90022,49 family units,,,
