Year,Name,Type,Status,Address,City,ZIP,Deets,latitude,longitude
1996,Avenida Terrace,Rental (Non-LIHTC),Completed,245 S Ave 54,Los Angeles,90042,8 units (No Longer Owned by ELACC),34.104572,-118.195704
1997,Clarence I,Homeownership (Non-LIHTC),Completed,114 South Clarence Street,Los Angeles,90033,1-4 bedroom home,34.0472194,-118.2239849
1997,Clarence II,Homeownership (Non-LIHTC),Completed,118 South Clarence Street,Los Angeles,90033,1-3 bedroom home,34.0471764,-118.2239889
1997,Boyle,Mixed-use,NA,530 S. Boyle Avenue,Los Angeles,NA,NA,34.0410358,-118.2195274
1997,Pecan,Homeownership (Non-LIHTC),Completed,339 South Pecan Street,Los Angeles,90033,1-3 bedroom home,34.0445761,-118.2219296
1998,Amethyst,Homeownership (Non-LIHTC),Completed,3521 Amethyst Street,Los Angeles,90032,1-3 bedroom home,34.0852344,-118.1917293
1998,Arizona,Homeownership (Non-LIHTC),Completed,201 South Arizona Street,Los Angeles,90023,1-3 bedroom home,46.011359,-112.5320069
1998,Whiteside,Homeownership (Non-LIHTC),Completed,3627 Whiteside Avenue,Los Angeles,90063,2-1 bedroom homes,53.5429995,-2.5741226
1999,Mott,Homeownership (Non-LIHTC),Completed,960 South Mott Street,Los Angeles,90023,1-3 bedroom home,34.0319091,-118.2137454
1999,Pomeroy Homes,Homeownership (Non-LIHTC),Completed,1800 Pomeroy,Los Angeles,90033,4-3 bedroom homes,34.057166,-118.212521
1999,Percy,Rental (Non-LIHTC),Completed,3807 Percy Street,County of LA,90023,7 family units (Managed by ELACC),34.025398,-118.1914763
2000,Chicago,Homeownership (Non-LIHTC),Completed,520 Chicago Street,Los Angeles,90033,1-3 bedroom home,40.7808722,-111.9180193
2001,Randolph,Homeownership (Non-LIHTC),Completed,3270 Randolph Street,Los Angeles,90032,1-3 bedroom home,41.8831613,-87.8730903
2002,Arco Iris,Rental (Non-LIHTC),Completed,121 North Chicago,Los Angeles,90033,5 units (No Longer Exists),34.0451904,-118.2121132
2003,EHOP Homes,Homeownership (Non-LIHTC),Completed,2120 Michigan Avenue,Los Angeles,90033,1-3 bedroom home,34.0464832,-118.2123245
2003,EHOP Homes,Homeownership (Non-LIHTC),Completed,2929 New Jersey Street,Los Angeles,90033,1-3 bedroom home,34.0431863,-118.2016684
2003,EHOP Homes,Homeownership (Non-LIHTC),Completed,311 Avenue 51,Los Angeles,90042,1-3 bedroom home,34.1081908,-118.2025504
2003,EHOP Homes,Homeownership (Non-LIHTC),Completed,606 Brittania Street,Los Angeles,90033,1-4 bedroom home,34.0506316,-118.2123057
2003,EHOP Homes,Homeownership (Non-LIHTC),Completed,2825 Cincinnati Street,Los Angeles,90033,1-3 bedroom home,34.0450911,-118.2012837
2003,EHOP Homes,Homeownership (Non-LIHTC),Completed,5901 Mesa Avenue,Los Angeles,90042,1-3 bedroom home,34.11476,-118.193627
2003,EHOP Homes,Homeownership (Non-LIHTC),Completed,3024 Inez Street,Los Angeles,90042,1-3 bedroom home,34.0326092,-118.2055727
2003,EHOP Homes,Homeownership (Non-LIHTC),Completed,1948 Sheridan Street,Los Angeles,90033,1-3 bedroom home,41.2538475,-76.9685194
2003,EHOP Homes,Homeownership (Non-LIHTC),Completed,6363 North Figueroa,Los Angeles,90033,1-3 bedroom home,34.1171985,-118.1835387
2003,EHOP Homes,Homeownership (Non-LIHTC),Completed,5817 Benner Street,Los Angeles,90042,1-3 bedroom home,34.1075006,-118.1899304
2003,EHOP Homes,Homeownership (Non-LIHTC),Completed,2325 Whittier Blvd.,Los Angeles,90033,1-3 bedroom home,34.0348194,-118.2164957
2003,EHOP Homes,Homeownership (Non-LIHTC),Completed,611 North Avenue 50,Los Angeles,90042,1-3 bedroom home,34.1271142,-118.2053218
2003,EHOP Homes,Homeownership (Non-LIHTC),Completed,3141 East Side Blvd.,Los Angeles,90033,1-3 bedroom home,34.0432204,-118.1971239
2003,EHOP Homes,Homeownership (Non-LIHTC),Completed,5900 Fayette Street,Los Angeles,90042,1-3 bedroom home,34.119259,-118.190365
2003,EHOP Homes,Homeownership (Non-LIHTC),Completed,805 Avenue 52,Los Angeles,90042,1-3 bedroom home,34.1093956,-118.2017299
2003,EHOP Homes,Homeownership (Non-LIHTC),Completed,714 North Avenue 53,Los Angeles,90042,1-3 bedroom home,40.6235281,-74.1360727
2003,EHOP Homes,Homeownership (Non-LIHTC),Completed,180 - 182 South Avenue 53,Los Angeles,90042,2-2 bedroom/Duplex,40.6388183,-74.165841
2003,EHOP Homes,Homeownership (Non-LIHTC),Completed,457 North Fresno Street,Los Angeles,90033,1-4 bedroom/Duplex,34.0429283,-118.1957669
2003,EHOP Homes,Homeownership (Non-LIHTC),Completed,6124 Mesa Avenue,Los Angeles,90042,1-3 bedroom home,34.1160868,-118.1901448
2003,EHOP Homes,Homeownership (Non-LIHTC),Completed,3252 Malabar Avenue,Los Angeles,90063,1-3 bedroom home,37.3250687,-121.9769036
2003,EHOP Homes,Homeownership (Non-LIHTC),Completed,2317 Rogers Avenue,Los Angeles,90063,1-3 bedroom home,34.0355883,-118.2164078
2003,EHOP Homes,Homeownership (Non-LIHTC),Completed,621 Brittania Street,Los Angeles,90063,2-2 bedroom/Duplex,34.0508807,-118.2123712
2003,EHOP Homes,Homeownership (Non-LIHTC),Completed,2514 Michigan Avenue,Los Angeles,90063,1-3 bedroom home,32.7173507,-96.8167523
2003,EHOP Homes,Homeownership (Non-LIHTC),Completed,5232 Hub Street,Los Angeles,90042,1-3 bedroom home,34.1166583,-118.2024955
2003,EHOP Homes,Homeownership (Non-LIHTC),Completed,6010 Piedmont Street,Los Angeles,90042,1-3 bedroom home,42.3326483,-83.2276109
2003,Stringer,Homeownership (Non-LIHTC),Completed,1262 Stringer Avenue,Los Angeles,90063,1-3 bedroom home,34.0527007,-118.1831241
2003,Los Girasoles,Rental - 9% TCAC (LIHTC),Completed,952 South Record Avneue,County of LA,90023,11 family units,NA,NA
2004,Michigan Avenue Homes,Homeownership (Non-LIHTC),Completed,4063 Michigan Avenue,Los Angeles,90063,3-3 bedroom homes,42.3313965,-83.1001974
2004,Pleasant,Homeownership (Non-LIHTC),Completed,1604 Pleasant Avenue,Los Angeles,90033,2-3 bedroom homes,34.0483673,-118.2208385
2004,Las Mariposas,Rental (Non-LIHTC),Completed,438 South Evergreen Avenue,Los Angeles,90033,4 family units (Managed by ELACC),34.0363646,-118.2047297
2004,Las Mariposas,Rental (Non-LIHTC),Completed,2537 East Third Street,Los Angeles,90063,5 family units (Managed by ELACC),42.3365119,-71.0344087
